,0
0,for all you americans out there  still rejoicing over the majority win of  republicans over the legislature of this landbrbewarebrjust like you would have been if  there were any other kind of majoritybrthe founding fathers had something like this in mind wheh they formed our great nationbrits part of the natural checks amp balances system that keeps this country on an even keelbrbut this is now being threatened  with the majority of executive legislative and judidical power all in the hands of one political partybrsee to it that you remember our us constitution and our bill of rightsbrremember that we are still the peoplebramerica belongs to all of usbrand god help us all
1,obamas policies may prove to be the least of this countrys worries  the gop has been emboldened to actually cut the oce in the night before the new president or congress is sworn in following in their leaders footsteps  everyone is crying foul including the gop leadership and conservative think tanks  how about a twitter regarding the swamp draining tonight
2,democrats are comprised of malcontents who generally have never worked a day in their lives and thrive on handouts from the govt fire  12 of the govt non workers and save billions trust is earned and our elected officials have not earned our trust the dont adhere to the us constitution as it restricts their movement thank goodness for the 2nd amendment and the nra or they would have already enslaved us
3,the picture in this article is the face of congressional leadership it would seem that only harry reid seemed to know that his time has passed conversely so should mitch mcconnell his times has come and gone he forces people his own age to retire while he goes on being a senatorbrbrthe senators ideas and ways of thinking are no longer mainstream he hasnt the political will or the intestinal fortitude that it will take to keep his president from running this country into the ground its time that our elected representatives have term limits imposed mitch mcconnell was raised in a white mans world where women were excluded even though he never throughly supported trump yet his wife gets a cabinet appointment the gop leadership lead by mcconnell strips down the only department that makes any real sense was the independent ethics board under the guise of how much better how much more stream line the ethics complaints will be handled essentially setting it up for their president to enrich himself as he always had and does only no ethics rules wont apply anymore more and more this isnt a country by the people and for the people no its becoming a country of the have and have nots and us being the have nots will shortly have lots lessbrbrthe democrats would be right in using  the emolument clause and the constitutional issues trump will bring against the gop offer them as much help as they offered obama and by extension us the citizens of this country
4,elections have consequences
5, shakespeare showed us that  appetite brings  its own revenge as ambition   chokes on its own excess and  consumes itself in the process 
6,obama policies are in peril as new congress takes overbrbrgod is good these days
7,im glad to hear the republicans are chomping at the bit to pass republican legislation  would that be like nixons call for for a basic minimum  income no i didnt say minimum wage i said living yearly income like nixon said  an amount that would guarantee all citizens of enough money to live modestly  or maybe it would be like gop romneycare in massachusetts that was passed long before obamacare which was in most ways modeled upon it  butoh thats right those things were put forth by another earlier republican party  sort of like the much earlier republican party that rejected slavery and wanted equality for all its citizens after the civil war
8,a typical banana republic deal
9,well mitch you havent done anything for eight years so you should be rested
10,politics what is it to gain and maintain poweror to look after the common good of the peoplebrit is 2017 and yet we are engaged in confrontations that benefit no one but or ego and selfishness it is time we work towards a betterment for all mankindbrboth republicans and democrats alike should take note and end the dogfights of selfishness
11,i am retired and medicare is an absolutely essential blessing  it has been shown to be far more cost effective than private insurance programs  for those of you who are not old enough to use it let me assure you you will be thrilled when you reach retirement age with medicare  i would also add that the only part that does not work well is the part d which is the drug part and this is because congress passed this part separately at a later date and it is run by private insurance programs like your insurance programs it has no cost control provisions and no checks on costs like allowing seniors buy imported drugs made by the same companies that sell the drugs in the us but charge far less in other countries it is by law illegal to do so  so if americans truly want useful health care wait until you are over 65 or pass a medicare like program for all  but do not let the private insurance companies andor the gop hoodwink you into dropping government run health programs while making you think private programs will be improvements
12,its a big job to actually have responsibility and produce results said senator mitch mcconnell of kentucky the majority leader and we intend to do it so what were you being paid for for eight years senator slothful you should pay back every penny of your salary with interest
13,one small ray of light in the gop having full control of congress is that its all going to be on them whatever happens the gop is 100 answerable to it all they will not be able to blame anything on democrats hopefully this will show the country once and for all that supplyside economics just doesnt work and i think it will happen very quickly look for democrats to regain the senate and perhaps even up the house at midterm 
14,repeal obamacare  there are too many people getting health care and being cured   cant have thatbrbrwhy is it that people think less health care is a good thing   if it is cost sorry that is a very poor argument considering that the us has the largest gdp in the world and heath care is needed  the republicans refuse to provide health care to the people because profits are affected that is just ethically horriblebrthere is nothing the republicans have proposed that would increase the number of people receiving and the level of heath care over what obamacare has provided  and they are proud of that as are many of their constituents  any reasonable person would expect intelligent legislators to make adjustments to the current law to fix any problems and increase the numbers of people with health care
15,well maybe if obama hadnt made that infernal bargain with the clintons to keep them out of his hair for eight years and ensure they got fatter at the trough than they were already another democrat might have won and been genuinely progressive to bootbrbrthe shilling just before the election went pretty far to tarnish both of the obamas though well pretend it wasnt quite as nakedly transactional as it wasbrbrmaybe the clintons are even worse than we knew they were  maybe they had the means and intent of making life hell for obama  if notwhy didnt he have the guts to tell them to get lost  that you know elections have consequencesbrbrthey sure do
16,i will not shed a tear if some of the obama policies are in peril in the future it is not about obamas legacy it is about us and our people obviously part of the reason trump won in the heartland and rural areas of the usa was because of a  yearning for change and moving away from obama policies that failed to achieve the desired outcome in a number of ways in the home city of president obama chicago the murder rate for 2016 of 700 is unacceptable the massive loss of law enforcement personnel nationally is unacceptable the national debt is sky high the level of terrorism being unleashed by isis has reached a peak with no end in sight the epic migration of millions from the middle east to europe and north america occurred in the past 8 years after the devastation of syria yemen libya and iraq the endless longest war involving afghanistan has yet to see light at the end of the tunnel obamacare is the craziest system in the world so says none other than ex president bill clinton a career democrat in a way trump has plenty of opportunity to steer the country in a different and better direction if he can stop tweeting take a deep breath think hard about the problems and challenges he faces get the best and bold advice and steer the country in the right direction and let the press worry about obamas policies being in peril when he leaves office 
17,why do i always think of a tortoise when mcconnells visage comes to mind
18, it would be nice if we could have a return to sanity the hyperbole on both sides its not helpful i think many of us feel left out  and but politicians in washington
19,i do not understand why the senates refusal to give garrick garland a hearing has not been analyzed and on the front page of newspapers constantly perhaps daily  it is dereliction of duty and anticonstitutional in terms of the responsibilities of the senate  the fact that these elected representatives might benefit from their intransigence is galling
20,where i live we were one of the hardest hit areas by hurricane matthew  i am fortunate to live in an affluent community where i have become somewhat of a social outcast because as an hrc supporteri am considered stupid  but you should have seen them lined up at the trough asking how soon were we going to get federal money to pay for the cleanup of our community because of course we couldnt be expected to stand up on our own two feet and pay for it ourselves  but taxes are unfair and way too high  and we sure dont want government money going to the undeserving poor 
21,we are once again at the front line of whats good for republicansor the dems not whats good for the people the reality is the people dont have a say even more than ever
22,you consider equality social ills perhaps in your country it is but in the usa tell that to the regime in china sadly there will be knockings at your door
23,they should just repeal obamacare reenact it with the small corrections obama has been begging them to pass for several years and call it wonderful amazing republican healthcare  
24,i hear probably more about the strangulation of regulations on business and their growth and their development than probably anything else the house speaker paul d ryan of wisconsinbrbroh boy here we go againbrbrthe banking industry is already chomping at their collective bits for a return to the euphoria of legalized ninja loans and other creative accounting shenanigans deregulation should give them about 6 months to run up the tab into the trillions for another spate of taxpayer bailoutsbrbrits already been approvedbrbrwe can even call the next financial implosion the greatest recession
25,this is no time for hubris  you have to perform mitch mcconnell  are you sure that is a quote from the mitch mcconnell who is in the us senate i think it  must be from some other person named mitchell mcconnell  the do nothing one in the senate is not only full of hubris but will also go down as the greatest practitioner of obstructionism in us congressional history  the quote that will in fact live in infamy is our number one priority is to make this president a oneterm president  he has been arrogant disrespectful and has never failed to put party over country not once  i find him to be the single most despicable american politician of the era  although the preener paul ryan is biting at his heels for the distinction
26,enough of the 30000 foot analysis  brbrso while all of the socalled experts pundits and paid cable news contributors opine and pontificate about the congress once again voting to repeal obamacare maybe someone can write a comprehensive article about what would happen if it is repealed with no replacementbrbrmillions of people just signed up for a renewal  more signed up for the first time just within the past 6 weeks  brbrwhat do we do all you experts  beg our doctors to load us up with 90day prescriptions instead of 30 day prescriptions even if the 90day fill costs us more  or start buying from canada  insist on every test possible within the next 36 months because we wont be able to afford any tests if we dont have health insurance  have our colonoscopies earlier than planned  brbror even more significant  be so afraid of being viewed as having a preexisting condition that we dont tell our doctors whats really bothering us until its so bad that we are forced to go to the er in the middle of the nightbrbryes the premiums skyrocketed  and the plans with low premiums have high deductibles  i dont think the affordable care act works anywhere near as well as it should or could  brbrbut meanwhile millions are writing personal checks every month for this insurance and have no clue what may happen to their insurance  brbrand many of the major providers already dropped out of the exchangesbrbrhow about some advice
27,repeal and replace obamacare please
28,given that senator mitch mcconnells face is the front and center heading this article we all may want to take a moment to observe a slight clogging of swamp drain with a retread nominee yes mcconnells wife the honorable elaine l chao is trumpz nominee for her second cabinet position as secretary of commerce  she was secretary of labor in the bush administration
29,the obama regime represented eight years of social regression where people were given the sense of entitlement that they deserve to be equals where minority equals majority female equals male and other forms of social illnessesbrbrtrump may not be nationalistic in the global definition but he represents a step in the right direction
30,it would be interesting to see a pair of walls dividing america from canada and mexico and for those peoples to sit back and slowly watch america disintegrate i wonder what the bookies odds are at the momentbr i feel america deserves everything it is about receive those factory jobs have gone in all of their fields what is needed is new education to deal with a digital world and new education for those factory workers whose jobs are either being performed by robotics or sent abroad to countries that dont have unions or pollution controls 
31,i agree that mcconnel failed to do his job by not allowing hearings to replace justice scalia but still an empty seat was vastly superior to scalias rulings  with thomas on the court we have two empty seats on the scotus
32,equal rights will inevitably be set back by decades  women will likely loose further rights to their body and be thrown back to being nothing more than an incubation vessel at the pleasure of men arab persian and even indian men will be subject to further indignation as theyre all terrorists blacks will be further incarcerated at probably higher rates if not just shot dead for lunging as for the lgbt community be prepared to have your gains under obama rolled back under pence good news is that despite the injustice of the silver lining is that as a group these rights will only be put on hold  progression can not be stopped only slowedbrbrclimate change however is far more bleak we dont have time to wait and by the time we feel it its already too latebrrepublicans are not the party of lincoln havent been for the last half century they are the party of zero accountability wall street fat cats a redistribution of wealth for and towards the top 1  everyone else be damned
33,lets be honest here and nowbreven die hard liberals you cannot be happy with our failing schools loosing good jobs middle east in melt down and on an oncan youbrbe honest nowdont be like trump voters who  told pollsters no and fooled the the hillary cheerleaders
34,oh the impotent tears 
35,for all those who think obamacare is great yea its great for the 20 million who are getting subsidies a free ride is always great for those getting it but not for those paying for it many many people lost or will loose their insurance due to unaffordable increases  my brother is one  his insurance went from 300 per month to 800 because the insurance companies now have cover people whose premiums dont cover their claims let the democrats start charities to provide medicare to those who cant afford it sorry but its not the responsibility of the taxpayer to provide care for some unwed mother and her six kids or for some old person who did not save for old age 
36,im an obama supporter as painful as it is for me to see republicans planing the repeal of some of his policies we live in a democracy voters have spokenthey gave republicans the right to govern the nationbr que sera serabrbrthe majority of americans expect that  republicans and democrats in congress whose oath is to the usa and not to their party will demand that mr trump and all his nominates  reveal their tax returns before granting them the power to govern americabrbrwe need to know who they are working for
37,obamas policies are in perilnews flash the american people elected mr donald trump because as the title says obamas policies are in perilnot the policies of america that is why the democrats have in the last 8 years lost more than 1030 seats in state legislatures governors
38,looking at the us budget it is not too far off the mark to state that the us government is an insurance company that happens to field an army people on the far right please dont call these people small government conservatives would love to abolish the former and forcefeed the latter with public money until it becomes as bloated as the steroidinflated head of barry bonds circa 2001 they scream about the emasculation of the us military under president obama even though in 2015 the country led the world in defense spending at nearly 600 billion while china was a very very distant second at around 215 billion brbrdepressing that a debate about which one is more worthy of being retaineddecent social welfare provisions for nonelites versus corporate welfare for defense contractors who after 9112001 became as fat and happy as a pedpopping baseball playeris even taking place 
39,no foolish pride is not prudent but is less offensive to me than timidly winning  you won and have two years for proof dont waste even one day house and senate who face elections in two years
40,its time for mitch to retire to the elephants burial grounds maybe hell take ryan and those other neanderthals with him i hope dems have enough unity to block the destruction of obamas work especially obama care if they rename it trump care and make it better for poor and middle class people i wouldnt mind at all but im afraid they just want to destroy anything they think is progressive and promote their program of no lives matter and nobody matters except their corporate lobbyists and donors 
41,lets be clear  the gop does believe in a government safety net    they believe in a safety net for big farmers by virtue of farm subsidies  they believe in a safety net for big banks who have cheated the american people repeatedly  they believe in a safety net for big business via elimination of environmental regulations and lowering taxes  the believe in a safety net for the ultra wealthy by virtue of eliminating the capital gains tax  however they appear to not believe in a safety net for the infirm the poor the disabled the working class or even the middle class  the gops economic plans benefit those who already have massive advantages to gain wealth    mr mcconnell says you have to perform  my question to him is perform what   performance that results in poisoned water as in flint  performance that results in voter restriction as in north carolina  i cant wait to see what kind of performance occur under mcconnell and ryans leadership  
42,4 or 5 or 10 million people flooding into washington to stop trumps inauguration may give the republicans a reason to think twice about cutting social security
